customer_id,name,email,region,signup_date,segment
1,Company_1,contact1@company1.com,West,2023-05-23,enterprise
2,Company_2,contact2@company2.com,Southwest,2023-05-11,enterprise
3,Company_3,contact3@company3.com,West,2024-04-07,small-biz
4,Company_4,contact4@company4.com,Southeast,2023-10-25,small-biz
5,Company_5,contact5@company5.com,Northeast,2024-11-22,enterprise
6,Company_6,contact6@company6.com,Northeast,2024-06-13,mid-market
7,Company_7,contact7@company7.com,Southwest,2024-05-30,mid-market
8,Company_8,contact8@company8.com,West,2023-12-16,mid-market
9,Company_9,contact9@company9.com,Southwest,2024-07-23,mid-market
10,Company_10,contact10@company10.com,Southeast,2023-06-26,mid-market
11,Company_11,contact11@company11.com,Midwest,2024-07-02,small-biz
12,Company_12,contact12@company12.com,Northeast,2024-03-03,small-biz
13,Company_13,contact13@company13.com,Midwest,2023-12-27,mid-market
14,Company_14,contact14@company14.com,Northeast,2024-05-27,mid-market
15,Company_15,contact15@company15.com,Midwest,2024-11-28,enterprise
16,Company_16,contact16@company16.com,West,2024-06-30,enterprise
17,Company_17,contact17@company17.com,West,2023-08-14,small-biz
18,Company_18,contact18@company18.com,West,2024-07-23,enterprise
19,Company_19,contact19@company19.com,Northeast,2023-05-14,small-biz
20,Company_20,contact20@company20.com,Southeast,2023-03-13,small-biz
21,Company_21,contact21@company21.com,West,2023-07-26,mid-market
22,Company_22,contact22@company22.com,Midwest,2024-10-18,mid-market
23,Company_23,contact23@company23.com,Southeast,2023-03-03,small-biz
24,Company_24,contact24@company24.com,Southeast,2024-11-10,mid-market
25,Company_25,contact25@company25.com,Southeast,2023-11-23,enterprise
26,Company_26,contact26@company26.com,Midwest,2023-06-05,enterprise
27,Company_27,contact27@company27.com,Southwest,2024-02-13,enterprise
28,Company_28,contact28@company28.com,Northeast,2023-04-14,enterprise
29,Company_29,contact29@company29.com,West,2023-03-04,mid-market
30,Company_30,contact30@company30.com,Midwest,2024-07-30,enterprise
31,Company_31,contact31@company31.com,West,2023-07-23,enterprise
32,Company_32,contact32@company32.com,Northeast,2024-05-14,mid-market
33,Company_33,contact33@company33.com,Northeast,2024-01-30,mid-market
34,Company_34,contact34@company34.com,West,2023-05-16,small-biz
35,Company_35,contact35@company35.com,Southwest,2024-10-15,small-biz
36,Company_36,contact36@company36.com,West,2023-02-08,enterprise
37,Company_37,contact37@company37.com,Midwest,2023-06-29,enterprise
38,Company_38,contact38@company38.com,West,2024-01-24,enterprise
39,Company_39,contact39@company39.com,Northeast,2023-07-09,mid-market
40,Company_40,contact40@company40.com,Northeast,2023-06-05,mid-market
41,Company_41,contact41@company41.com,Northeast,2023-08-05,small-biz
42,Company_42,contact42@company42.com,Southeast,2023-03-29,mid-market
43,Company_43,contact43@company43.com,Southeast,2024-03-01,small-biz
44,Company_44,contact44@company44.com,Midwest,2024-05-21,enterprise
45,Company_45,contact45@company45.com,Midwest,2024-11-06,small-biz
46,Company_46,contact46@company46.com,Midwest,2023-06-30,enterprise
47,Company_47,contact47@company47.com,Midwest,2023-05-06,mid-market
48,Company_48,contact48@company48.com,Midwest,2024-04-26,small-biz
49,Company_49,contact49@company49.com,West,2023-08-22,small-biz
50,Company_50,contact50@company50.com,Midwest,2023-04-27,enterprise
51,Company_51,contact51@company51.com,Southwest,2023-11-19,enterprise
52,Company_52,contact52@company52.com,Midwest,2024-06-15,small-biz
53,Company_53,contact53@company53.com,West,2023-07-20,enterprise
54,Company_54,contact54@company54.com,Southwest,2024-08-09,enterprise
55,Company_55,contact55@company55.com,Southeast,2024-05-31,mid-market
56,Company_56,contact56@company56.com,West,2024-06-06,enterprise
57,Company_57,contact57@company57.com,Southwest,2023-09-18,small-biz
58,Company_58,contact58@company58.com,Southwest,2024-07-09,enterprise
59,Company_59,contact59@company59.com,Northeast,2024-03-29,small-biz
