item_id,order_id,product_id,quantity,unit_price
1,1,12,4,430.9
2,2,5,5,150.48
3,2,47,3,472.78
4,3,39,5,123.47
5,4,5,1,150.48
6,4,13,2,338.21
7,5,27,2,304.07
8,5,24,1,445.16
9,5,44,5,14.79
10,6,44,3,14.79
11,6,31,1,452.7
12,6,37,1,152.27
13,7,31,1,452.7
14,7,8,4,301.05
15,8,42,3,121.18
16,8,26,1,454.39
17,8,50,1,256.11
18,9,34,2,360.03
19,10,38,1,430.13
20,10,12,2,430.9
21,10,19,5,221.02
22,11,43,1,19.35
23,11,31,5,452.7
24,12,27,1,304.07
25,12,10,3,102.39
26,12,4,5,24.03
27,13,44,5,14.79
28,13,32,4,55.34
29,14,22,4,482.73
30,15,38,5,430.13
31,15,12,4,430.9
32,16,37,5,152.27
33,16,32,4,55.34
34,16,23,2,303.61
35,17,27,4,304.07
36,17,29,2,44.66
37,18,7,3,498.53
38,19,23,5,303.61
39,20,30,3,161.38
40,21,23,3,303.61
41,21,1,1,210.22
42,21,32,3,55.34
43,22,25,5,417.53
44,23,44,1,14.79
45,24,44,3,14.79
46,24,29,2,44.66
47,24,28,4,217.9
48,25,19,2,221.02
49,25,13,3,338.21
50,26,40,1,167.63
51,27,38,5,430.13
52,27,32,4,55.34
53,28,20,2,464.7
54,28,35,5,121.23
55,28,10,2,102.39
56,29,2,5,95.36
57,29,30,4,161.38
58,30,30,4,161.38
59,30,36,5,318.26
60,31,33,1,167.21
61,31,37,3,152.27
62,31,43,4,19.35
63,32,44,4,14.79
64,32,36,3,318.26
65,33,17,2,292.47
66,34,21,4,396.26
67,34,10,5,102.39
68,34,26,4,454.39
69,35,4,4,24.03
70,35,43,5,19.35
71,35,7,4,498.53
72,36,36,4,318.26
73,36,38,1,430.13
74,36,6,1,24.86
75,37,21,5,396.26
76,38,50,4,256.11
77,38,5,5,150.48
78,39,43,3,19.35
79,39,12,4,430.9
80,40,6,5,24.86
81,40,32,4,55.34
82,40,6,3,24.86
83,41,20,1,464.7
84,42,43,2,19.35
85,42,43,5,19.35
86,43,24,2,445.16
87,44,17,2,292.47
88,45,14,5,61.17
89,46,1,4,210.22
90,46,9,1,208.8
91,46,4,1,24.03
92,47,10,4,102.39
93,48,35,5,121.23
94,48,8,5,301.05
95,48,49,1,34.64
96,49,50,2,256.11
97,50,16,2,102.17
98,50,33,1,167.21
99,51,36,5,318.26
100,51,11,1,179.73
101,52,29,1,44.66
102,53,16,5,102.17
103,54,9,5,208.8
104,55,19,5,221.02
105,55,11,1,179.73
106,56,36,3,318.26
107,56,42,5,121.18
108,57,36,3,318.26
109,57,32,3,55.34
110,57,4,5,24.03
111,58,3,3,430.21
112,58,15,4,387.29
113,58,16,4,102.17
114,59,44,3,14.79
115,59,28,3,217.9
116,59,29,3,44.66
117,60,40,1,167.63
118,60,26,2,454.39
119,60,19,5,221.02
120,61,32,5,55.34
121,61,33,4,167.21
122,61,46,1,42.32
123,62,27,4,304.07
124,63,11,2,179.73
125,63,9,3,208.8
126,63,21,5,396.26
127,64,35,5,121.23
128,64,18,5,236.42
129,65,3,1,430.21
130,66,35,5,121.23
131,66,22,3,482.73
